Name,Vantage 2019 4.0 V8
新車售價,880萬
車身型式,雙門跑車
動力型式,汽油
變速系統,手自排8速
排氣量,3982cc
極速(km/h),314km/h
官方0-100km/h加速(s),3.6s
能源局公佈平均油耗,7km/ltr
能源效率等級,4
燃料稅,9810元
牌照稅,28220元
車長(mm),4465mm
車寬(mm),2153mm
車高(mm),1273mm
軸距(mm),2704mm
車重(kg),1530kg
車門數,2門
乘客數,2座
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,V型8缸
汽門數,32
壓縮比,11.3
最大馬力,510hp@6000rpm
最大扭力,69.8kgm@2000~5000rpm
驅動型式,後輪驅動
前輪懸吊,雙A臂
後輪懸吊,雙A臂
煞車型式,前後碟煞
前輪尺碼,255/40 R20
後輪尺碼,255/35 R20
引擎擺放位置,前置
輪圈規格,19吋
感應式雨刷,●
後視鏡自動防眩目,●
後視鏡加熱/除霧,●
後視鏡電動折疊,●
後視鏡電動調整,●
方向盤調整,電動4向
多功能方向盤,●
方向盤換檔,●
動力方向盤,●
旅程電腦,●
中央顯示幕,●
多功能資訊幕,●
Keyless免匙系統,○
中控鎖,●
衛星導航,●
恆溫空調,●
前座正面氣囊,●
前座側面氣囊,●
膝部氣囊,●
胎壓偵測,●
ABS防鎖死,●
煞車輔助系統,EBD
動態穩定系統,●
循跡系統,●
主動安全預防系統,●
定速系統,●
盲點偵測系統,○
倒車雷達,●
防盜系統,●
主動式智慧定速系統,○
駕駛模式選擇,●
座椅材質,真皮
跑車式座椅,●
座椅高低調整,●
腰部支撐調整,電動
前座座椅調整,●
加熱座椅,○
通風座椅,○
外部音源接入,USB、Aux-in
多媒體系統,●
音響系統,●
音響喇叭數量,●
頭燈光源,HID
感應頭燈,●
LED日行燈,●
後霧燈,●
