Name,Carnival 2008 2.9 CRDi
新車售價,158.9萬
車身型式,MPV休旅
動力型式,柴油
變速系統,手自排5速
排氣量,2902cc
能源局公佈平均油耗,10km/ltr
燃料稅,4320元
牌照稅,15210元
車長(mm),4810mm
車寬(mm),1985mm
車高(mm),1760mm
軸距(mm),2890mm
車重(kg),2240kg
車門數,5門
乘客數,7座
進氣型式,渦輪增壓
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,na
最大馬力,182hp@3800rpm
最大扭力,35.0kgm@1750~3500rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,多連桿
煞車型式,前後碟煞
前輪尺碼,225/70R16
後輪尺碼,225/70R16
電動天窗,●
車頂行李架,●
感應式雨刷,●
後視鏡加熱/除霧,●
旅程電腦,●
後座出風口,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
ABS防鎖死,●
定速系統,●
倒車雷達,●
倒車顯影系統,●
防盜系統,●
座椅材質,皮革
後座分離式傾倒,●
後座杯架,●
音響系統,MP3、DVD、CD
音響喇叭數量,6只
前霧燈,●
後霧燈,●
