Name,Savrin 2014 2.4雅緻型五人座,Savrin 2014 2.4豪華型五人座,Savrin 2014 2.4豪華型四人座,Savrin 2014 2.4豪華型七人座,Savrin 2014 2.4旗艦型六人座
新車售價,75.7萬,79.7萬,80.7萬,90.5萬,97.5萬
車身型式,MPV休旅,MPV休旅,MPV休旅,MPV休旅,MPV休旅
動力型式,汽油,汽油,汽油,汽油,汽油
變速系統,手自排4速,手自排4速,手自排4速,手自排4速,手自排4速
排氣量,2378cc,2378cc,2378cc,2378cc,2378cc
能源局公佈平均油耗,11.4km/ltr,11.4km/ltr,11.7km/ltr,11.5km/ltr,11.6km/ltr
燃料稅,6180元,6180元,6180元,6180元,6180元
牌照稅,11230元,11230元,11230元,11230元,11230元
車長(mm),4700mm,4700mm,4700mm,4700mm,4700mm
車寬(mm),1780mm,1780mm,1780mm,1780mm,1780mm
車高(mm),1690mm,1690mm,1690mm,1690mm,1690mm
軸距(mm),2780mm,2780mm,2780mm,2780mm,2780mm
車重(kg),1620kg,1620kg,1620kg,1680kg,1620kg
車門數,5門,5門,5門,5門,5門
乘客數,5座,5座,4座,7座,6座
進氣型式,自然吸氣,自然吸氣,自然吸氣,自然吸氣,自然吸氣
汽門構造,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸,SOHC單凸輪軸
汽缸設計,直列4缸,直列4缸,直列4缸,直列4缸,直列4缸
汽門數,16,16,16,16,16
壓縮比,9.5,9.5,9.5,9.5,9.5
最大馬力,162hp@6000rpm,162hp@6000rpm,162hp@6000rpm,162hp@6000rpm,162hp@6000rpm
最大扭力,21.8kgm@4000rpm,21.8kgm@4000rpm,21.8kgm@4000rpm,21.8kgm@4000rpm,21.8kgm@4000rpm
驅動型式,前輪驅動,前輪驅動,前輪驅動,前輪驅動,前輪驅動
前輪懸吊,麥花臣,麥花臣,麥花臣,麥花臣,麥花臣
後輪懸吊,拖曳臂,拖曳臂,拖曳臂,拖曳臂,拖曳臂
煞車型式,前後碟煞,前後碟煞,前後碟煞,前後碟煞,前後碟煞
前輪尺碼,205/65R15,205/60R16,205/60R16,205/60R16,205/60R16
後輪尺碼,205/65R15,205/60R16,205/60R16,205/60R16,205/60R16
電動天窗,-,●,●,●,●
後視鏡方向指示燈,●,●,●,●,●
方向盤換檔,●,●,●,●,●
中央顯示幕,-,-,-,-,●
恆溫空調,●,●,●,●,●
前座正面氣囊,●,●,●,●,●
ABS防鎖死,●,●,●,●,●
倒車雷達,●,●,●,●,前
防盜系統,●,●,●,●,●
後座前後滑移,●,●,●,●,●
後座分離式傾倒,●,●,●,●,●
座椅記憶功能,-,-,-,-,●
後座杯架,●,●,●,●,●
後座扶手,●,●,●,●,●
藍牙通訊,-,-,-,-,●
音響系統,MP3、CD,MP3、CD,MP3、CD,MP3、CD,MP3、DVD、CD
音響喇叭數量,4只,4只,4只,4只,7只
LED尾燈,●,●,●,●,●
前霧燈,-,●,●,●,●
後霧燈,●,●,●,●,●
