Name, ,Astra Sportwagon 2010 1.9 CDTI
新車售價,-,125.8萬
車身型式,-,Wagon旅行車
動力型式,-,柴油
變速系統,-,手自排6速
排氣量,-,1910cc
能源局公佈平均油耗,-,14.3km/ltr
燃料稅,-,3708元
牌照稅,-,11230元
車長(mm),-,4515mm
車寬(mm),-,1753mm
車高(mm),-,1500mm
軸距(mm),-,2703mm
車重(kg),-,1480kg
車門數,-,5門
乘客數,-,5座
進氣型式,-,渦輪增壓
汽門構造,-,SOHC單凸輪軸
汽缸設計,-,直列4缸
汽門數,-,8
壓縮比,-,18
最大馬力,-,120hp@3500~4000rpm
最大扭力,-,28.6kgm@2000~2750rpm
驅動型式,-,前輪驅動
前輪懸吊,-,麥花臣
後輪懸吊,-,拖曳臂
煞車型式,-,前後碟煞
前輪尺碼,-,225/45R17
後輪尺碼,-,225/45R17
車頂行李架,-,●
感應式雨刷,-,●
後視鏡加熱/除霧,-,●
旅程電腦,-,●
Keyless免匙系統,-,●
恆溫空調,-,●
後座出風口,-,●
車內粉塵過濾,-,●
前座正面氣囊,-,●
前座側面氣囊,-,●
側面氣簾,-,●
兒童安全椅固定裝置,-,ISOFIX
ABS防鎖死,-,●
循跡系統,-,●
倒車雷達,-,●
防盜系統,-,●
後座分離式傾倒,-,●
外部音源接入,-,AUX-IN
音響系統,-,MP3、DVD、CD
音響喇叭數量,-,7只
感應頭燈,-,●
前霧燈,-,●
後霧燈,-,●
