Name,207 5D 2011 5D 1.6全景天窗版
新車售價,89.8萬
車身型式,小型掀背車
動力型式,汽油
變速系統,手自排4速
排氣量,1598cc
能源局公佈平均油耗,12.8km/ltr
燃料稅,4800元
牌照稅,7120元
車長(mm),4045mm
車寬(mm),1748mm
車高(mm),1491mm
軸距(mm),2540mm
車重(kg),1260kg
車門數,5門
乘客數,5座
進氣型式,自然吸氣
汽門構造,DOHC雙凸輪軸
汽缸設計,直列4缸
汽門數,16
壓縮比,10.5
最大馬力,120hp@6000rpm
最大扭力,16.33kgm@4250rpm
驅動型式,前輪驅動
前輪懸吊,麥花臣
後輪懸吊,拖曳臂
煞車型式,前後碟煞
前輪尺碼,195/55R16
後輪尺碼,195/55R16
電動天窗,全景式
感應式雨刷,●
旅程電腦,●
恆溫空調,●
車內粉塵過濾,●
前座正面氣囊,●
前座側面氣囊,●
側面氣簾,●
兒童安全椅固定裝置,ISOFIX
ABS防鎖死,●
倒車雷達,●
防盜系統,●
座椅材質,織布
後座分離式傾倒,●
外部音源接入,AUX-IN
音響系統,MP3、CD
音響喇叭數量,6只
感應頭燈,●
LED尾燈,●
前霧燈,●
後霧燈,●
